"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Samsung Galaxy S9 appears in new leaked renders  ","2017-12-18 20:54:37","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"2","RT @liveluvtx: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:52:25","TRUE","45","0","1","Samsung Galaxy","Austin","USA",FALSE
"3","RT @FindingDebra2: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:52:05","TRUE","2","0","1","Samsung Galaxy","Austin","USA",FALSE
"4","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 20:47:19","TRUE","31","0","1","Samsung Galaxy","Austin","USA",FALSE
"5","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 20:46:07","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"6","RT @FindingDebra2: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:45:56","TRUE","2","0","1","Samsung Galaxy","Austin","USA",TRUE
"7","RT @momknowsbest15: Give the whole family the latest smartphone with Sprint at Best Buy. The best holiday gift for the whole family! @Best","2017-12-18 20:42:46","TRUE","4","0","3","Samsung Galaxy","Austin","USA",FALSE
"8","I liked a @YouTube video  ","2017-12-18 20:35:35","FALSE","0","0","1","Samsung Galaxy","Austin","USA",FALSE
"9","RT @liveluvtx: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:33:06","TRUE","45","0","1","Samsung Galaxy","Austin","USA",TRUE
"10","RT @atticgirl76: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation Veri","2017-12-18 20:32:59","TRUE","72","0","1","Samsung Galaxy","Austin","USA",FALSE
"11","RT @liveluvtx: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:30:29","TRUE","45","0","1","Samsung Galaxy","Austin","USA",TRUE
"12","Package 8: more phone covers, a Samsung galaxy case, an hdmi cable, and a disco light","2017-12-18 20:26:18","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"13","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 20:25:22","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"14","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 20:22:09","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"15","Join us for a ribbon cutting! A Samsung Galaxy Tab 2 and a Michael Kors purse will be given away at the event.  ","2017-12-18 20:00:41","FALSE","0","0","0","Samsung Galaxy","Austin","USA",FALSE
"16","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 19:59:17","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"17","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 19:54:06","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
"18","RT @EastCLifestyle: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation V","2017-12-18 19:51:32","TRUE","31","0","1","Samsung Galaxy","Austin","USA",TRUE
