"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Apple Catches Up With iPhone X Demand via Ubergizmo - Prior to its release, it was reported ...  ","2017-12-18 20:35:45","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"2","Apple Now Offering Next-Day iPhoneX Delivery in United States and UK  ","2017-12-18 20:35:16","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"3","Apple offers free next-day delivery for iPhone X -  ","2017-12-18 20:33:27","FALSE","0","0","1","Apple Iphone","New York","USA",FALSE
"4","RT @mekosoff: apple gave the iphone x review units to vloggers instead of tech reviewers and magic leap let pitchfork demo the product  ","2017-12-18 20:33:00","TRUE","3","0","1","Apple Iphone","New York","USA",FALSE
"5","Ellie Goulding - Love Me Like You Do (Official Video) apple iphonex iphone appstore applemusic  ","2017-12-18 20:30:43","FALSE","0","0","2","Apple Iphone","New York","USA",FALSE
"6","NYE ft Tony Staxkz  - Pray for Em Freestyle
 ","2017-12-18 20:29:37","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"7","Mobile Phone Accessories $6,44  ","2017-12-18 20:27:09","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"8","These are not leaked. Its strategic marketing to whet peoples appetites. Apple does the same thing with every new  ","2017-12-18 20:24:28","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"9","Bye, backlog. Your new iPhone X could ship overnight - CNET: Delivery estimates for the iPhone X have finally impro  ","2017-12-18 20:24:12","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"10","Apple ups iPhone prices in India as tax increase makes imports costlier  ","2017-12-18 20:24:05","FALSE","0","0","-1","Apple Iphone","New York","USA",FALSE
"11","More bugs worm their way into @Apple iPhones  ","2017-12-18 20:20:22","FALSE","1","1","-1","Apple Iphone","New York","USA",FALSE
"12","RT @mekosoff: apple gave the iphone x review units to vloggers instead of tech reviewers and magic leap let pitchfork demo the product  ","2017-12-18 20:18:55","TRUE","3","0","1","Apple Iphone","New York","USA",TRUE
"13","Bye, backlog. Your new iPhone X could ship overnight - CNET - Delivery estimates for the iPhone X have finally impr  ","2017-12-18 20:15:41","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"14","RT @ARKitNews: Apple's Phil Schiller Hints at Future Smartglasses by Framing Augmented Reality as Sci-Fi 
&gt;  ","2017-12-18 20:13:38","TRUE","1","0","0","Apple Iphone","New York","USA",FALSE
"15","Apple's Phil Schiller Hints at Future Smartglasses by Framing Augmented Reality as Sci-Fi 
&gt;  ","2017-12-18 20:10:11","FALSE","1","2","0","Apple Iphone","New York","USA",FALSE
"16","RT @SubstratumNet: On the 4th day of christmas substratum gave to me.. 4 winners will win an @apple iPhone X! substratum $sub cryptocur","2017-12-18 20:09:59","TRUE","1807","0","2","Apple Iphone","New York","USA",FALSE
"17","RT @ProgressOfAKind: Taxpayer dollars funded the research that created the bulk of the technology in Apple's iPhone, but when it comes time","2017-12-18 20:06:03","TRUE","63","0","0","Apple Iphone","New York","USA",FALSE
"18","@BelkinCares @belkin hey guys, I bought two iPhone X invisiglass ultra protectors from you, and they both seem to b  ","2017-12-18 20:01:34","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"19","RT @ProgressOfAKind: Taxpayer dollars funded the research that created the bulk of the technology in Apple's iPhone, but when it comes time","2017-12-18 20:01:01","TRUE","63","0","0","Apple Iphone","New York","USA",TRUE
"20","Keep all devices associated with your campaign safe. If using devices like the @Apple iPhone on your campaign, upda  ","2017-12-18 20:00:44","FALSE","0","1","2","Apple Iphone","New York","USA",FALSE
"21","Ms. Marcy - Hear Me Out Radio
 ","2017-12-18 19:57:31","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"22","How to switch cellular phone calls between your iPhone, iPad &amp; Mac ~ Visit Here:  ","2017-12-18 19:56:22","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"23","RT @CalcioLandPod: NEW- Ep. 66

Winners &amp; Losers from weekend in @SerieA_TIM 

Latest on Dybala &amp; Milinkovic Savics futures 

Your Qs ans","2017-12-18 19:54:34","TRUE","3","0","0","Apple Iphone","New York","USA",FALSE
"24","RT @BGR: The iPhone X is available for next-day delivery from Apple right now  ","2017-12-18 19:54:01","TRUE","2","0","2","Apple Iphone","New York","USA",FALSE
"25","Apple iPhone 7  32GB  Silver *UK Vodafone* Apple warranty November 2018  ","2017-12-18 19:53:20","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"26","RT @mekosoff: apple gave the iphone x review units to vloggers instead of tech reviewers and magic leap let pitchfork demo the product  ","2017-12-18 19:53:08","TRUE","3","0","1","Apple Iphone","New York","USA",TRUE
"27","RT @CalcioLandPod: NEW- Ep. 66

Winners &amp; Losers from weekend in @SerieA_TIM 

Latest on Dybala &amp; Milinkovic Savics futures 

Your Qs ans","2017-12-18 19:52:09","TRUE","3","0","0","Apple Iphone","New York","USA",TRUE
"28","RT @CalcioLandPod: NEW- Ep. 66

Winners &amp; Losers from weekend in @SerieA_TIM 

Latest on Dybala &amp; Milinkovic Savics futures 

Your Qs ans","2017-12-18 19:51:59","TRUE","3","0","0","Apple Iphone","New York","USA",TRUE
"29","iPhone chargers have the lifespan of the the one time I had a gold fish and it passed away a week later. 
Get your shit together Apple tf??","2017-12-18 19:49:44","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"30","Bye, backlog. Your new iPhone X could ship overnight     - CNET  ","2017-12-18 19:49:06","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"31","apple gave the iphone x review units to vloggers instead of tech reviewers and magic leap let pitchfork demo the pr  ","2017-12-18 19:48:50","FALSE","3","14","1","Apple Iphone","New York","USA",FALSE
"32","Apple offers free next-day delivery for iPhone X CNET  ","2017-12-18 19:48:07","FALSE","0","0","1","Apple Iphone","New York","USA",FALSE
"33","RT @BGR: The iPhone X is available for next-day delivery from Apple right now  ","2017-12-18 19:44:24","TRUE","2","0","2","Apple Iphone","New York","USA",TRUE
"34","iPhone X comes out and my iPhone 7 Plus starts acting crazy. Im on to you @Apple","2017-12-18 19:42:35","FALSE","0","1","-1","Apple Iphone","New York","USA",FALSE
"35","The iPhone X is available for next-day delivery from Apple right now ~ Visit Here:  ","2017-12-18 19:42:10","FALSE","0","0","2","Apple Iphone","New York","USA",FALSE
"36","NEW- Ep. 66

Winners &amp; Losers from weekend in @SerieA_TIM 

Latest on Dybala &amp; Milinkovic Savics futures 

Your Q  ","2017-12-18 19:41:53","FALSE","3","5","0","Apple Iphone","New York","USA",FALSE
"37","And get your day rockin with @BULLSPIKEradio where you have a mix of rock n metal AND holiday songs
Website -  ","2017-12-18 19:41:35","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"38","The iPhone X is available for next-day delivery from Apple right now  ","2017-12-18 19:33:14","FALSE","2","3","2","Apple Iphone","New York","USA",FALSE
"39","What Apple is likely to do with Shazam, the early name-that-tune iPhone app  ","2017-12-18 19:31:52","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
