"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","1: Bluetooth Earbuds, Wireless Headset In-Ear headphone Earpiece EarphoneforAppleAirPodsiphoneX,8,8 plus,7,  ","2017-12-18 20:06:04","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"2","Apple has finally caught up with iPhone X demand  ","2017-12-18 19:44:16","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"3","Seafood recipes are easy to prepare and usually not so much time-consuming. Besides of that seafood is still very  ","2017-12-18 19:15:53","FALSE","0","0","1","Apple Iphone","Seattle","USA",FALSE
"4","I'm reading iPhone X isn't selling all that well. That's because it's about $300 overpriced. Apple keeps raising pr  ","2017-12-18 19:08:37","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"5","RT @iPhoneinCanada: Apple Increases iPhone Prices in India After Import Tax Hike  ","2017-12-18 17:31:35","TRUE","1","0","0","Apple Iphone","Seattle","USA",FALSE
"6","Analyst suggests customers prefer cheaper iPhones to the iPhone X - According to an analyst from Cowen &amp; Co., sales  ","2017-12-18 17:31:09","FALSE","0","0","2","Apple Iphone","Seattle","USA",FALSE
"7"," ","2017-12-18 17:30:10","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"8","After India raises import taxes, Apple raises iPhone prices in the country by 3.1% to 4.3%  ","2017-12-18 17:30:08","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"9","Apple ups iPhone prices in India as tax increase makes imports costlier  ","2017-12-18 17:14:01","FALSE","0","0","-1","Apple Iphone","Seattle","USA",FALSE
"10","Seriously, big kudos to @SamsungMobile for making it pretty seamless to switch from @Apple to @Android. Dumped the  ","2017-12-18 17:13:34","FALSE","0","0","2","Apple Iphone","Seattle","USA",FALSE
"11","Is anyone else having battery draining issues on their iphone since the latest Apple update? Any fix for this?","2017-12-18 17:05:22","FALSE","0","0","-2","Apple Iphone","Seattle","USA",FALSE
"12","Get a jump on holiday gifting - get iPad and iPhone on the best network. IamVZ  ","2017-12-18 17:05:13","FALSE","0","0","1","Apple Iphone","Seattle","USA",FALSE
"13","iPhone 8: the best gift for everyone on your wish list. IamVZ  ","2017-12-18 17:04:14","FALSE","0","0","1","Apple Iphone","Seattle","USA",FALSE
"14","You can finally listen to podcasts on your Apple Watch without having an iPhone around  ","2017-12-18 16:53:43","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"15","@apple dozens of notification sounds for iPhone but only one for the applewatch ?? Sure, focus on emojis.","2017-12-18 16:41:54","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"16","Apple Increases iPhone Prices in India After Import Tax Hike  ","2017-12-18 16:20:50","FALSE","1","2","0","Apple Iphone","Seattle","USA",FALSE
"17","Apple Now Offering Next-Day iPhone X Delivery in United States and UK  ","2017-12-18 16:09:18","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"18","Apple Now Offering Next-Day iPhone X Delivery in United States and UK  ","2017-12-18 15:53:20","FALSE","0","0","0","Apple Iphone","Seattle","USA",TRUE
"19","Analyst suggests customers prefer cheaper iPhones to the iPhone X - According to an analyst from Cowen &amp; Co., sales  ","2017-12-18 15:45:30","FALSE","0","0","2","Apple Iphone","Seattle","USA",TRUE
"20","Apple hikes most India iPhone prices after tax hike, with iPhone X topping out at $1,647  ","2017-12-18 15:43:52","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"21","just a heads up that losing access to your iphones apple account is a fucking nightmare it wont let me start acc  ","2017-12-18 15:43:06","FALSE","0","2","-3","Apple Iphone","Seattle","USA",FALSE
"22","Apple ups iPhone prices in India as tax increase makes imports costlier  ","2017-12-18 15:35:51","FALSE","0","0","-1","Apple Iphone","Seattle","USA",TRUE
"23","US Apple Online Store now offers next-day delivery on all iPhone X models  ","2017-12-18 15:12:13","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"24","@AppleSupport Besides being a great company, Apple fixed my problem! Front end tech support makes iPhone more expen  ","2017-12-18 15:03:12","FALSE","0","0","1","Apple Iphone","Seattle","USA",FALSE
"25","Apple increases iPhone prices in India, 256GB iPhone X now equivalent of $1646  ","2017-12-18 14:33:06","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"26","RT @Breeze_CA: If you are wanting a Gab app on your iPhone or mobile device go to the Gab site on your browser (Safari on Apple). Click on","2017-12-18 14:12:45","TRUE","4","0","0","Apple Iphone","Seattle","USA",FALSE
"27","Get the new brainwave meditation app for iphone ios  ","2017-12-18 14:00:12","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"28","Apple ups iPhone prices in India as tax increase makes imports costlier  ","2017-12-18 13:40:20","FALSE","0","0","-1","Apple Iphone","Seattle","USA",TRUE
"29","The top 8 features we expect from Apple&amp;apos;s next iPhone  ","2017-12-18 13:35:50","FALSE","0","0","1","Apple Iphone","Seattle","USA",FALSE
"30","You can finally listen to podcasts on your Apple Watch without having an iPhone around  ","2017-12-18 13:18:02","FALSE","0","0","0","Apple Iphone","Seattle","USA",TRUE
"31","Huawei P11 may feature a camera that rivals Apple's TrueDepth system on the iPhone X  ","2017-12-18 09:32:09","FALSE","0","1","0","Apple Iphone","Seattle","USA",FALSE
"32","Apple invests $390 million in maker of depth-sensing chips for iPhone X  ","2017-12-18 09:30:06","FALSE","0","12","0","Apple Iphone","Seattle","USA",FALSE
"33","68% OFF for Apple Iphone Charger Lightning Cables?2 Pack 1M? Mac  ","2017-12-18 08:04:04","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"34","68% OFF for Apple 3.5mm Audio+Charge Lightning Adapter for Iphone 7 Mac  ","2017-12-18 08:03:31","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"35","If you have that new iphone or @AppleMusic be sure to Download this NewMusic from @JPX357   ","2017-12-18 07:03:26","FALSE","0","1","0","Apple Iphone","Seattle","USA",FALSE
"36","Protective Hard Thin Case Cover + Tempered Glass For Apple iPhone 7 / 7 Plus  ","2017-12-18 06:52:09","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"37","Hey @Apple I can repro this any time.  ","2017-12-18 06:15:37","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"38","Anyone else notice that the staccato vibration for iPhone messages is different since the latest update? Apple","2017-12-18 05:59:37","FALSE","0","1","-1","Apple Iphone","Seattle","USA",FALSE
"39","Check out Apple iPhone 5  A1428 16Gb Black for parts not working  apple iphone5 smartphone   ","2017-12-18 04:54:08","FALSE","0","1","0","Apple Iphone","Seattle","USA",FALSE
"40","Ive had my iPhone 6s Plus for two years now and I still love my phone. @Apple built this phone right.","2017-12-18 04:36:19","FALSE","0","0","2","Apple Iphone","Seattle","USA",FALSE
"41","Charging port on my iPhone is just about toast. Sick of Apple products. 

Sooooooo... Samsung Galaxy Note8 or S8+?","2017-12-18 03:59:50","FALSE","0","0","-1","Apple Iphone","Seattle","USA",FALSE
"42","OtterBox NFL iPhone 6s case  ","2017-12-18 03:28:09","FALSE","0","0","0","Apple Iphone","Seattle","USA",FALSE
"43","@AppleSupport @Apple I had to Tweet because the tech wanted to charge me $5 for help. Maybe the iOS was a faulty up  ","2017-12-18 02:59:20","FALSE","0","0","-1","Apple Iphone","Seattle","USA",FALSE
