"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","I got myself an Apple Watch I got Gio an iPhone X lmaooooo I shouldve gotten an iPad or something ","2017-12-18 20:32:04","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"2","Apple increases iPhone prices in India, 256GB iPhone X now equivalent of $1646  ","2017-12-18 20:31:25","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"3","keithcash digitalmarketing Bye, backlog. Your new iPhone X could ship overnight - CNET - Delivery estimates for t  ","2017-12-18 20:30:52","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"4","ICYMI from last week... 

Apple supplier bringing 500 high-paying jobs to DFW  ","2017-12-18 20:26:00","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"5","Bye, backlog. Your new iPhone X could ship overnight     - CNET  ","2017-12-18 20:25:18","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"6","Hey @Walmart can we please add WalmartPay to Apple Wallet on iPhone and Apple Watch &amp; allow us to scan the QR code  ","2017-12-18 20:17:12","FALSE","0","0","0","Apple Iphone","Austin","USA",FALSE
"7","RT @CapMac: You Can Get the iPhone X Delivered Tomorrow if You Order Right Now From Apple  ","2017-12-18 20:08:24","TRUE","1","0","1","Apple Iphone","Austin","USA",FALSE
"8","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-18 20:02:43","TRUE","474","0","0","Apple Iphone","Austin","USA",FALSE
"9","@JoshuaBaer Fun iPhone X game - Rainbrow by Nathan Gitter  ","2017-12-18 20:00:41","FALSE","0","0","1","Apple Iphone","Austin","USA",FALSE
"10","Reverse Deception Episode 101 Is now playing, LIVE! on Mike Churchs The CRUSADE TalkRadio Channel! TuneIn on our  ","2017-12-18 19:56:45","FALSE","0","0","-1","Apple Iphone","Austin","USA",FALSE
