"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Should I update my iPhone 6 to iOS 11? I'm on 10.3.3 and I'm most concerned about the battery being a problem. Anyo  ","2017-12-18 20:37:37","FALSE","0","0","-2","Apple Iphone","Los Angeles","USA",FALSE
"2","@realDonaldTrump   it's mueller time video - Yahoo Search Results  ","2017-12-18 20:35:29","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"3","@monitor_sur @iDropNews LookingForNews&gt;&gt;&gt; iDROP NEWS Apple Now Offers Free Next-Day Delivery for U.S. iPhone X Ord  ","2017-12-18 20:30:41","FALSE","0","0","1","Apple Iphone","Los Angeles","USA",FALSE
"4","I dont care WTF Im doing on my iPhone. It shouldnt be possible to use 65% of my battery in 3 hours. This is bullshit apple","2017-12-18 20:30:20","FALSE","0","0","-1","Apple Iphone","Los Angeles","USA",FALSE
"5","Apple has finally caught up with iPhone X demand  ","2017-12-18 20:26:45","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"6","RT @iDropNews: Apple Now Offers Free Next-Day Delivery for U.S. iPhone X Orders applenews  ","2017-12-18 20:21:56","TRUE","2","0","1","Apple Iphone","Los Angeles","USA",FALSE
"7","RT @iDropNews: Apple Now Offers Free Next-Day Delivery for U.S. iPhone X Orders applenews  ","2017-12-18 20:21:37","TRUE","2","0","1","Apple Iphone","Los Angeles","USA",TRUE
"8","Apple Now Offers Free Next-Day Delivery for U.S. iPhone X Orders applenews  ","2017-12-18 20:19:23","FALSE","2","3","1","Apple Iphone","Los Angeles","USA",FALSE
"9","Apple iPhone X Orders Now Delivering Tomorrow  ","2017-12-18 20:01:36","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"10","RT @techeblog: Apple iPhoneX(c) replaces the iPhone 5c, boasts TrueDepth cameras for FaceID.  ","2017-12-18 20:01:08","TRUE","61","0","0","Apple Iphone","Los Angeles","USA",FALSE
"11","RT @Gamevice: iPhone X, Gamevice and @OddworldInc New 'N Tasty on iOS is the perfect combo! Download from link  ","2017-12-18 20:00:53","TRUE","4","0","1","Apple Iphone","Los Angeles","USA",FALSE
"12","RT @techeblog: Apple iPhoneX(c) replaces the iPhone 5c, boasts TrueDepth cameras for FaceID.  ","2017-12-18 19:59:36","TRUE","61","0","0","Apple Iphone","Los Angeles","USA",TRUE
"13","MiniCast - Listen to podcasts on your Apple Watch - without an iPhone  ","2017-12-18 19:52:14","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"14","Apple iPhone SE: UK price, spec, features, pre-order sale date,...  ","2017-12-18 19:45:08","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
