"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Next Samsung Galaxy phone might have on-screen fingerprint reader  ","2017-12-18 20:35:16","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"2","Samsung Galaxy S9 and S9+ front panels leak alongside rumored battery capacity  ","2017-12-18 20:30:55","FALSE","0","0","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"3","Gadget Lab Podcast: Enjoy the Silence: This week: Coffiest, the new Bose headphones, the Samsung Galaxy Note 7, and  ","2017-12-18 20:20:03","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"4","Samsung Galaxy Note8 Review attmobilereview  ","2017-12-18 19:57:27","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"5","Samsung Galaxy S8 Review AT&amp;T  ","2017-12-18 19:27:08","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"6","RT @Androidheadline: Samsung Galaxy S9 To Feature A 3,200mAh Battery: Rumor  ","2017-12-18 19:25:44","TRUE","2","0","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"7","It looks like we may get treated to a March launch from Samsung for the GalaxyS9  ","2017-12-18 19:18:11","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"8","Fourth Android 8.0 Oreo beta now rolling out to the Samsung Galaxy S8 and S8+","2017-12-18 19:15:24","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"9","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 19:05:06","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"10","Save up to $300 TODAY @BestBuy on a Samsung Galaxy Note8, S8 or S8+ with qualified activation on Verizon  ","2017-12-18 19:04:47","FALSE","0","1","1","Samsung Galaxy","Los Angeles","USA",FALSE
"11","Our glass only repairs for Samsung Galaxy phones prices vary depending on the specific type of work that needs to...  ","2017-12-18 19:01:49","FALSE","0","1","1","Samsung Galaxy","Los Angeles","USA",FALSE
"12","Our glass only repairs for Samsung Galaxy phones prices vary depending on the specific type of work that needs to b  ","2017-12-18 19:01:41","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"13","RT @Androidheadline: Samsung Galaxy S9 To Feature A 3,200mAh Battery: Rumor  ","2017-12-18 19:00:12","TRUE","2","0","-1","Samsung Galaxy","Los Angeles","USA",TRUE
"14","Samsung Galaxy Note8 Review attmobilereview  ","2017-12-18 18:57:23","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",TRUE
"15","Samsung Galaxy S9 To Feature A 3,200mAh Battery: Rumor  ","2017-12-18 18:57:08","FALSE","2","0","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"16","Samsung Galaxy S9 To Refine The Galaxy S8 Formula: Report  ","2017-12-18 18:57:06","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"17","Are you a Samsung loyalist? Here's what you should know about Galaxy S9 and S9+  ","2017-12-18 18:56:06","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"18","RT @CaptainFlowers: @100Ssumday Note8. If samsung galaxy can win worlds then they've earned my phone vote","2017-12-18 18:54:50","TRUE","2","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"19","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 18:50:28","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"20","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 18:50:06","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"21","Samsung Galaxy S9 To Feature A 3200mAh Battery: Rumor  ","2017-12-18 18:37:08","FALSE","0","0","-1","Samsung Galaxy","Los Angeles","USA",FALSE
"22","Samsung Galaxy S9 To Refine The Galaxy S8 Formula: Report  ","2017-12-18 18:37:08","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",TRUE
"23","Samsung Galaxy S9 could come with a larger 3200mAh battery  ","2017-12-18 18:19:18","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
"24","Samsung Galaxy A8/A8+ (2018) revealed in its full glory  ","2017-12-18 18:19:14","FALSE","0","0","1","Samsung Galaxy","Los Angeles","USA",FALSE
"25","Samsung Galaxy S9 may arrive earlier than usual  ","2017-12-18 18:02:24","FALSE","0","0","0","Samsung Galaxy","Los Angeles","USA",FALSE
