"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","The best Galaxy S8 Plus cases and covers for that stylish Samsung of yours  ","2017-12-18 20:26:38","FALSE","0","0","2","Samsung Galaxy","Seattle","USA",FALSE
"2","Samsung may bump up battery size in Galaxy S9 models  ","2017-12-18 20:21:53","FALSE","0","0","-1","Samsung Galaxy","Seattle","USA",FALSE
"3","RT @SusieQpon: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-18 20:21:29","TRUE","36","0","1","Samsung Galaxy","Seattle","USA",FALSE
"4","1: Bluetooth Earbuds, Wireless Headset In-Ear headphone Earpiece EarphoneforAppleAirPodsiphoneX,8,8 plus,7,  ","2017-12-18 20:06:04","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"5","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 19:35:04","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",FALSE
"6","Bluboo taking fight to Samsung Galaxy S9 with its own S9 in 2018 (Promoted)  ","2017-12-18 19:15:00","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"7","USA Black For Samsung Galaxy Tab A 10.1 2016 SM-T580 T585 T587 New LCD Display + Tou  ","2017-12-18 19:02:37","FALSE","0","0","0","Samsung Galaxy","Seattle","USA",FALSE
"8","Top 12 Tech Gifts for 2017: Samsung Galaxy S8: We like tech, its what we do. As the holiday shopping season kicks  ","2017-12-18 18:37:04","FALSE","0","0","2","Samsung Galaxy","Seattle","USA",FALSE
"9","Top 12 Tech Gifts for 2017: Samsung Galaxy S8: We like tech, its what we do. As the holiday shopping season kicks  ","2017-12-18 18:37:03","FALSE","0","0","2","Samsung Galaxy","Seattle","USA",TRUE
"10","Samsung may bump up battery size in Galaxy S9 models  ","2017-12-18 18:19:19","FALSE","0","0","-1","Samsung Galaxy","Seattle","USA",TRUE
"11","Top 12 Tech Gifts for 2017: Samsung Galaxy S8  ","2017-12-18 18:15:03","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",TRUE
"12","RT @StuffedSuitcase: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation","2017-12-18 18:08:52","TRUE","7","0","1","Samsung Galaxy","Seattle","USA",FALSE
"13","RT @StuffedSuitcase: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation","2017-12-18 18:07:36","TRUE","7","0","1","Samsung Galaxy","Seattle","USA",TRUE
"14","RT @StuffedSuitcase: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation","2017-12-18 17:53:00","TRUE","7","0","1","Samsung Galaxy","Seattle","USA",TRUE
"15","RT @StuffedSuitcase: The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activation","2017-12-18 17:15:16","TRUE","7","0","1","Samsung Galaxy","Seattle","USA",TRUE
"16","RT @born2impress: Ad: Still looking for holiday gifts for the family? Multi-device, Multi-line plan ($22.50/mo for 4 lines) on the network","2017-12-18 17:13:08","TRUE","298","0","0","Samsung Galaxy","Seattle","USA",FALSE
